tracking_id,sender,recipient,origin_province,destination_province,distance_km,weight_kg,package_quantity,ship_type,day_of_week,month,delayed,delivery_days
ENV-0001,Benjamin Perez Diaz,Amparo Paez Rodriguez,Santa Fe,Chaco,426,37.21,8,0,1,12,1,6
ENV-0002,Martina Gomez,Juan Bautista Martina Diaz,Catamarca,San Luis,278,2.07,3,0,1,9,0,1
ENV-0003,Dr(a). Delfina Nuñez,Alejo Fernandez Flores,San Juan,Corrientes,159,21.27,15,1,6,1,0,1
ENV-0004,Felipe Maximiliano Romero Gomez,Benicio Romero Perez,Cordoba,Tierra del Fuego,2328,17.34,5,0,6,6,1,10
ENV-0005,Sebastian Rojas Valdez,Bautista Garcia,Chaco,La Rioja,108,30.38,2,1,4,2,0,1
ENV-0006,Dr(a). Dante Vega,Antonella Ramos Velazquez,Mendoza,Catamarca,161,15.01,20,1,4,4,0,1
ENV-0007,Mateo Ezequiel Olivia Acosta,Mateo Benicio Carrizo Quiroga,CABA,Santiago del Estero,1028,38.77,3,0,6,2,1,10
ENV-0008,Tomas Lopez Ojeda,Malena Victoria Blanco,Santa Fe,La Rioja,561,18.82,7,1,5,11,0,4
ENV-0009,Sr(a). Ramiro Mansilla,Francisco Gonzalez Sanchez,Santa Cruz,Santa Fe,1563,26.94,8,0,3,7,1,11
ENV-0010,Bautista Ian Ezequiel Ortiz Vera,Ambar Camila Avila,Entre Rios,Santiago del Estero,603,42.22,2,0,6,1,0,3
ENV-0011,Felipe Fernandez,Dr(a). Thiago Valentin Flores,Mendoza,Formosa,50,10.94,19,1,1,11,1,5
ENV-0012,Dr(a). Guadalupe Franco,Bianca Catalina Gonzalez,Chubut,Formosa,205,12.71,18,1,5,10,0,2
ENV-0013,Felipe Fernandez Peralta,Sr(a). Olivia Luna,San Luis,Mendoza,262,11.36,5,1,0,1,0,2
ENV-0014,Julia Valdez,Thiago Ezequiel Gomez Cruz,Chubut,Santa Fe,860,39.71,14,0,3,7,0,3
ENV-0015,Camilo Alma Garcia Fernandez,Benjamin Alejandro Hernandez Perez,Neuquen,Salta,284,48.57,1,0,5,9,0,1
ENV-0016,Sr(a). Bianca Gomez,Maite Bianca Diaz Torres,Santa Fe,La Pampa,50,15.03,6,1,0,12,0,1
ENV-0017,Juan Pablo Santiago Benjamin Pereyra,Matias Suarez Gomez,Formosa,Salta,265,25.63,4,1,6,11,1,4
ENV-0018,Emiliano Ludmila Sanchez Rodriguez,Sr(a). Catalina Suarez,Chubut,La Rioja,261,27.2,17,0,4,6,1,2
ENV-0019,Ema Rojas Gomez,Abigail Lopez,La Rioja,Jujuy,431,3.37,19,0,0,12,1,2
ENV-0020,Dr(a). Ciro Benjamin Soria,Luz Milagros Camila Carrizo,San Juan,Chubut,252,33.16,18,0,2,9,0,1
